"completion_date","total_work_orders_completed","total_units_produced","total_units_planned","effective_yield_rate"
"2025-03-01","148","92910","149763","0.62038020071713307025"
"2025-03-02","175","115065","191786","0.59996558664344634123"
"2025-03-03","178","112095","192549","0.58216350123864574732"
"2025-03-04","178","125501","205294","0.61132327296462634076"
"2025-03-05","165","101193","170731","0.59270431263215233320"
"2025-03-06","159","92876","154195","0.60232822075942799702"
"2025-03-07","170","103877","174836","0.59413965087281795511"
"2025-03-08","192","117832","207301","0.56841018615443244364"
"2025-03-09","177","115661","200042","0.57818358144789594185"
"2025-03-10","171","105643","181185","0.58306703093523194525"
"2025-03-11","187","110269","187896","0.58686188104057563759"
"2025-03-12","186","121656","206346","0.58957285336279840656"
"2025-03-13","164","107196","183393","0.58451522140975936922"
"2025-03-14","158","101364","168131","0.60288703451475337683"
"2025-03-15","179","108950","183101","0.59502678849378212025"
"2025-03-16","190","111766","192219","0.58145136536970850956"
"2025-03-17","179","111928","189284","0.59132309122799602713"
"2025-03-18","165","98661","170617","0.57826007959347544500"
"2025-03-19","169","101179","173562","0.58295594657816803217"
"2025-03-20","148","92283","154033","0.59911187862341186629"
"2025-03-21","168","105007","178407","0.58858116553722667833"
"2025-03-22","172","103361","178003","0.58066998870805548221"
"2025-03-23","173","113524","193652","0.58622683989837440357"
"2025-03-24","167","111283","188204","0.59128923933603961659"
"2025-03-25","161","101834","178702","0.56985372295777327618"
"2025-03-26","170","104373","178758","0.58387876346792870809"
"2025-03-27","170","107790","185737","0.58033671266360498985"
"2025-03-28","159","92270","165057","0.55901900555565653077"
"2025-03-29","156","101635","173278","0.58654301180761550803"
"2025-03-30","185","112505","195798","0.57459728904278899682"
"2025-03-31","174","110118","185191","0.59461852897819008483"
"2025-04-01","173","104564","177534","0.58898013901562517602"
"2025-04-02","164","98372","161409","0.60945796083241950573"
"2025-04-03","171","110872","186913","0.59317436454393220375"
"2025-04-04","157","92507","158162","0.58488764684311022875"
"2025-04-05","156","99913","172742","0.57839436848016116521"
"2025-04-06","181","111561","191350","0.58302064280114972563"
"2025-04-07","175","104882","175465","0.59773744051520246203"
"2025-04-08","182","113769","190810","0.59624233530737382737"
"2025-04-09","184","106464","187144","0.56888812892745693156"
"2025-04-10","177","113126","198231","0.57067764375904878652"
"2025-04-11","193","118092","201124","0.58716015990135438834"
"2025-04-12","180","110860","186729","0.59369460555136052782"
"2025-04-13","173","104872","170659","0.61451198003035292601"
"2025-04-14","172","98850","172902","0.57171114272825068536"
"2025-04-15","172","105255","182508","0.57671444539417450194"
"2025-04-16","196","127803","217117","0.58863654158817596043"
"2025-04-17","158","101181","172555","0.58636956332763466721"
"2025-04-18","184","103945","180707","0.57521291372221330662"
"2025-04-19","170","107062","179532","0.59633937125414967805"
"2025-04-20","153","94061","159246","0.59066475767052233651"
"2025-04-21","168","102992","176110","0.58481630798932485378"
"2025-04-22","159","99127","172340","0.57518277822908204712"
"2025-04-23","175","105405","180829","0.58289876070762986025"
"2025-04-24","180","111888","193686","0.57767727145999194573"
"2025-04-25","172","107748","184587","0.58372474767995579320"
"2025-04-26","159","103467","175107","0.59087871986842330689"
"2025-04-27","180","97662","176842","0.55225568586647968243"
"2025-04-28","179","107171","186698","0.57403400143547333126"
"2025-04-29","170","103611","179120","0.57844461813309513176"
"2025-04-30","170","101220","176198","0.57446736058298051056"
"2025-05-01","166","103928","179622","0.57859282270545924219"
"2025-05-02","192","116419","196570","0.59225212392531922470"
"2025-05-03","169","106206","177447","0.59852237569527802668"
"2025-05-04","171","108362","179993","0.60203452356480529798"
"2025-05-05","171","104151","179097","0.58153402904571265850"
"2025-05-06","189","104829","181198","0.57853287563880396031"
"2025-05-07","172","107859","184555","0.58442740646419766465"
"2025-05-08","156","99874","169505","0.58920975782425297189"
"2025-05-09","155","92433","157578","0.58658569089593725012"
"2025-05-10","162","93099","157669","0.59047117695932618333"
"2025-05-11","181","113166","186915","0.60544097584463526202"
"2025-05-12","191","119605","205633","0.58164302422276580121"
"2025-05-13","167","106279","174364","0.60952375490353513340"
"2025-05-14","172","110223","183838","0.59956592217060672984"
"2025-05-15","167","89201","156367","0.57045924012099739715"
"2025-05-16","189","120296","203829","0.59018098504138272768"
"2025-05-17","171","97861","173042","0.56553322314813744640"
"2025-05-18","183","113693","198301","0.57333548494460441450"
"2025-05-19","149","96557","159490","0.60541099755470562418"
"2025-05-20","194","116203","197663","0.58788442955940160779"
"2025-05-21","169","103563","174235","0.59438689126754096479"
"2025-05-22","163","103026","167935","0.61348736118140947390"
"2025-05-23","166","104840","178336","0.58787905975237753454"
"2025-05-24","160","93092","159799","0.58255683702651455891"
"2025-05-25","169","107722","181526","0.59342463338585106266"
"2025-05-26","177","111700","190909","0.58509551671215081531"
"2025-05-27","154","96657","159486","0.60605319589180241526"
"2025-05-28","182","112809","192004","0.58753463469511051853"
"2025-05-29","203","126808","215492","0.58845804020566888794"
"2025-05-30","180","113159","198058","0.57134273798584253098"
"2025-05-31","180","117669","200378","0.58723512561259220074"
"2025-06-01","172","93594","169965","0.55066631365281087283"
"2025-06-02","168","103513","184244","0.56182562254401771564"
"2025-06-03","169","100840","168375","0.59890126206384558278"
"2025-06-04","165","97052","171011","0.56751904848226137500"
"2025-06-05","182","105921","184714","0.57343244150416319283"
"2025-06-06","177","105990","184178","0.57547589831575975415"
"2025-06-07","185","112270","190229","0.59018341052100363246"
"2025-06-08","169","110727","192782","0.57436378915043935637"
"2025-06-09","166","99363","169998","0.58449511170719655525"
"2025-06-10","193","117867","203623","0.57884914768960284447"
"2025-06-11","186","113291","199396","0.56817087604565788682"
"2025-06-12","169","100318","166747","0.60161802011430490504"
"2025-06-13","174","107038","181937","0.58832452991969747770"
"2025-06-14","171","113665","192561","0.59028048254838726430"
"2025-06-15","159","100987","177439","0.56913643562012860758"
"2025-06-16","175","95993","163694","0.58641733967036055078"
"2025-06-17","172","112538","193449","0.58174505942134619460"
"2025-06-18","175","100331","172766","0.58073347765185279511"
"2025-06-19","181","115593","194420","0.59455302952371155231"
"2025-06-20","169","102554","175297","0.58502997769499763259"
"2025-06-21","175","105491","173901","0.60661525810662388370"
"2025-06-22","194","122475","205373","0.59635395110360173927"
"2025-06-23","146","90495","155327","0.58260959137818923948"
"2025-06-24","176","104597","183212","0.57090692749383228173"
"2025-06-25","156","86752","147002","0.59014163072611256990"
"2025-06-26","180","109581","185280","0.59143458549222797927"
"2025-06-27","167","96197","166269","0.57856245000571363273"
"2025-06-28","186","97534","172610","0.56505416835641040496"
"2025-06-29","169","105814","184113","0.57472313198959334756"
"2025-06-30","152","86950","150631","0.57723841705890553737"
"2025-07-01","180","111053","190603","0.58264035718220594639"
"2025-07-02","177","111984","189193","0.59190350594366599187"
"2025-07-03","145","90664","159042","0.57006325373171866551"
"2025-07-04","190","116484","201069","0.57932351580800620682"
"2025-07-05","148","88249","152068","0.58032590683115448352"
"2025-07-06","173","108378","189098","0.57313139218817755873"
"2025-07-07","165","102969","177806","0.57910869149522513301"
"2025-07-08","182","112948","195535","0.57763571739074845936"
"2025-07-09","160","96093","163977","0.58601511187544594669"
"2025-07-10","179","105359","183676","0.57361331910538121475"
"2025-07-11","185","117654","195319","0.60236843317854381806"
"2025-07-12","167","108455","184219","0.58872863276860692980"
"2025-07-13","184","119315","202723","0.58856173201856720747"
"2025-07-14","166","94741","166670","0.56843463130737385252"
"2025-07-15","140","89800","148045","0.60657232598196494309"
"2025-07-16","193","121557","199847","0.60825031148828854073"
"2025-07-17","174","111431","186375","0.59788598256203890007"
"2025-07-18","181","111425","195273","0.57061140044962693255"
"2025-07-19","157","99771","169565","0.58839383127414265916"
"2025-07-20","199","114511","204951","0.55872379251625998409"
"2025-07-21","163","104257","177294","0.58804584475503965165"
"2025-07-22","157","94317","160639","0.58713637410591450395"
"2025-07-23","170","110539","180557","0.61221110231118151055"
"2025-07-24","165","96793","169489","0.57108720919941707131"
"2025-07-25","184","113296","193469","0.58560286144033411037"
"2025-07-26","157","96315","163808","0.58797494627857003321"
"2025-07-27","166","108346","184924","0.58589474594968743916"
"2025-07-28","189","113819","199339","0.57098209582670726752"
"2025-07-29","147","89949","151098","0.59530238653059603701"
"2025-07-30","164","98421","175852","0.55968086800263858244"
"2025-07-31","168","105089","172378","0.60964276183735743540"
"2025-08-01","187","105364","177425","0.59385092292517965337"
"2025-08-02","170","101126","169053","0.59819109983259687790"
"2025-08-03","179","109448","188715","0.57996449672787006862"
"2025-08-04","151","91894","159544","0.57597904026475455047"
"2025-08-05","195","125594","213812","0.58740388752736048491"
"2025-08-06","186","115681","193985","0.59633992318993736629"
"2025-08-07","151","95445","163413","0.58407225863303409153"
"2025-08-08","173","92030","165496","0.55608594769662106637"
"2025-08-09","150","94977","166410","0.57074094104921579232"
"2025-08-10","173","110659","186133","0.59451574949095539211"
"2025-08-11","180","109005","191557","0.56904733316976148092"
"2025-08-12","181","115531","197926","0.58370805250447136809"
"2025-08-13","173","103249","172606","0.59817735188811512925"
"2025-08-14","141","83600","147464","0.56691802745076764498"
"2025-08-15","168","89979","159166","0.56531545681866730332"
"2025-08-16","165","95979","168000","0.57130357142857142857"
"2025-08-17","180","115523","197507","0.58490585143817687474"
"2025-08-18","168","109692","184605","0.59419842366133094987"
"2025-08-19","159","101521","166762","0.60877777911034888044"
"2025-08-20","169","100039","174026","0.57485088435061427603"
"2025-08-21","192","116912","202626","0.57698419748699574586"
"2025-08-22","172","98925","172860","0.57228392919125303714"
"2025-08-23","174","113452","193376","0.58669121297368856528"
"2025-08-24","182","112049","188683","0.59384788242713969992"
"2025-08-25","170","105563","179985","0.58650998694335639081"
"2025-08-26","170","111166","187887","0.59166413855136331944"
"2025-08-27","174","114514","196118","0.58390356825992514711"
"2025-08-28","172","111139","194184","0.57233860668232192148"
"2025-08-29","183","103182","182129","0.56653251266959133362"
"2025-08-30","198","117623","199326","0.59010364929813471399"
"2025-08-31","154","97434","168941","0.57673388934598469288"
"2025-09-01","170","105317","180310","0.58408851422550052687"
"2025-09-02","173","109909","185504","0.59248857167500431258"
"2025-09-03","175","103527","174964","0.59170457922772684667"
"2025-09-04","153","93457","158944","0.58798696396215019126"
"2025-09-05","160","104656","175033","0.59792153479629555570"
"2025-09-06","173","108181","181879","0.59479654055718362208"
"2025-09-07","150","85696","150690","0.56869068949498971398"
"2025-09-08","168","101473","172374","0.58867926717486395860"
"2025-09-09","188","112924","186309","0.60611135264533651085"
"2025-09-10","179","109692","190679","0.57527048075561545844"
"2025-09-11","170","105508","183183","0.57597047760982187212"
"2025-09-12","176","117336","198554","0.59095258720549573416"
"2025-09-13","177","105533","180685","0.58407172703876912859"
"2025-09-14","170","102612","176076","0.58277107612621822395"
"2025-09-15","164","102516","181082","0.56613026142852409406"
"2025-09-16","160","94750","161669","0.58607401542658147202"
"2025-09-17","181","111496","194528","0.57316170422766902451"
"2025-09-18","180","110576","186263","0.59365520795863912854"
"2025-09-19","181","110258","188682","0.58435886836052193638"
"2025-09-20","171","106824","186539","0.57266308921994864345"
"2025-09-21","179","110334","189731","0.58152858520747795563"
"2025-09-22","163","99252","169274","0.58633930786771742855"
"2025-09-23","160","100624","171103","0.58809021466601988276"
"2025-09-24","177","116185","196715","0.59062603258521210889"
"2025-09-25","156","97376","169041","0.57604959743494181885"
"2025-09-26","181","118204","201938","0.58534797809228575107"
"2025-09-27","179","107112","180233","0.59429738172254803504"
"2025-09-28","181","121344","205720","0.58985028193661287186"
"2025-09-29","166","109052","181000","0.60249723756906077348"
"2025-09-30","158","97720","165553","0.59026414501700361818"
"2025-10-01","191","115963","200494","0.57838638562750007482"
"2025-10-02","170","109106","188095","0.58005794944044232967"
"2025-10-03","158","94536","164482","0.57474982064906798312"
"2025-10-04","181","103077","178210","0.57840188541608215027"
"2025-10-05","176","111874","188099","0.59476126933157539381"
"2025-10-06","159","99832","167637","0.59552485429827544039"
"2025-10-07","170","106555","176565","0.60348880015858182539"
"2025-10-08","173","105056","173725","0.60472585983594761836"
"2025-10-09","170","106746","176388","0.60517722294033607728"
"2025-10-10","163","97854","171914","0.56920320625428993567"
"2025-10-11","175","99165","169890","0.58370121843545823768"
"2025-10-12","157","92220","159395","0.57856269017221368299"
"2025-10-13","175","100271","172302","0.58194913581966547109"
"2025-10-14","187","117211","203715","0.57536754779962202096"
"2025-10-15","182","115900","191425","0.60545905707196029777"
"2025-10-16","168","101516","176712","0.57447145638100411970"
"2025-10-17","181","105116","177127","0.59344989753114996584"
"2025-10-18","185","109331","191220","0.57175504654324861416"
"2025-10-19","170","102982","181759","0.56658542355536727205"
"2025-10-20","158","89024","149912","0.59384172047601259406"
"2025-10-21","172","103243","173748","0.59421115638741165366"
"2025-10-22","163","97955","168403","0.58167016027030397321"
"2025-10-23","165","105065","178084","0.58997439410615215292"
"2025-10-24","177","116961","194031","0.60279542959630162191"
"2025-10-25","167","105755","179056","0.59062527924224823519"
"2025-10-26","179","109530","186348","0.58777126666237362354"
"2025-10-27","176","110680","190809","0.58005649628686277901"
"2025-10-28","163","96232","167945","0.57299711214981095001"
"2025-10-29","184","112874","198077","0.56984909908772850962"
"2025-10-30","196","123458","210079","0.58767416067288972244"
"2025-10-31","189","121612","207122","0.58715153387858363670"
"2025-11-01","167","103587","176307","0.58753764739913900185"
"2025-11-02","146","83087","146292","0.56795313482623793509"
"2025-11-03","165","104062","177879","0.58501565671046048156"
"2025-11-04","165","98813","165213","0.59809458093491432272"
"2025-11-05","178","107128","182994","0.58541810113992808507"
"2025-11-06","160","96860","167654","0.57773748314982046357"
"2025-11-07","172","100259","172239","0.58209232519928703720"
"2025-11-08","185","111616","191694","0.58226131229981115737"
"2025-11-09","180","112834","196089","0.57542238473346286635"
"2025-11-10","187","115497","196296","0.58838183151974569018"
"2025-11-11","134","80204","138328","0.57981030593950610144"
"2025-11-12","158","90469","156870","0.57671320201440683368"
"2025-11-13","164","106162","179344","0.59194620394325988045"
"2025-11-14","172","103825","179294","0.57907682354122279608"
"2025-11-15","158","100946","170992","0.59035510433236642650"
"2025-11-16","159","97897","166418","0.58825968344770397433"
"2025-11-17","178","114427","194486","0.58835597420894048929"
"2025-11-18","185","116037","201294","0.57645533398909058392"
"2025-11-19","187","114751","199815","0.57428621474864249431"
"2025-11-20","179","100250","180339","0.55589750414497141495"
"2025-11-21","181","108791","179119","0.60736716931202161691"
"2025-11-22","177","115065","198460","0.57978937821223420337"
"2025-11-23","169","103806","174948","0.59335345359764044173"
"2025-11-24","172","95909","161284","0.59465911063713697577"
"2025-11-25","179","112182","190967","0.58744180931784025512"
"2025-11-26","170","104817","176483","0.59392122754032966348"
"2025-11-27","161","99813","171828","0.58088902856344716810"
"2025-11-28","160","92159","158036","0.58315194006428914931"
"2025-11-29","169","101928","179639","0.56740462817094283535"
"2025-11-30","175","105335","184923","0.56961546157049150187"
"2025-12-01","171","108126","187897","0.57545357296816873074"
"2025-12-02","168","109654","182201","0.60182984725660122612"
"2025-12-03","181","109715","190540","0.57581085336412301879"
"2025-12-04","176","114107","193625","0.58931956100710135571"
"2025-12-05","178","111610","189442","0.58915129696688168410"
"2025-12-06","183","123251","206788","0.59602588157920188792"
"2025-12-07","154","95163","161698","0.58852304914099123057"
"2025-12-08","146","94081","158691","0.59285655771278774474"
"2025-12-09","171","104893","175263","0.59848912776798297416"
"2025-12-10","152","89119","148540","0.59996633903325703514"
"2025-12-11","173","104669","179485","0.58316293840710922918"
"2025-12-12","167","97107","171592","0.56591799151475593268"
"2025-12-13","174","112351","196372","0.57213350172122298495"
"2025-12-14","153","91869","156168","0.58827032426617488858"
"2025-12-15","170","105412","185743","0.56751533032200405937"
"2025-12-16","176","104959","184771","0.56804909861395998290"
"2025-12-17","168","100304","171466","0.58497894626339915785"
"2025-12-18","184","115584","207245","0.55771671210403146035"
"2025-12-19","152","94628","166226","0.56927315823036107468"
"2025-12-20","171","106635","173320","0.61524924994230325410"
"2025-12-21","156","90780","163559","0.55502907207796574936"
"2025-12-22","173","105387","180708","0.58318945481107643270"
"2025-12-23","165","93619","166739","0.56147032188030394809"
"2025-12-24","155","91241","152580","0.59798794075239218770"
"2025-12-25","172","103186","180104","0.57292453249233776041"
"2025-12-26","171","108031","189753","0.56932433215812134723"
"2025-12-27","178","108839","180224","0.60390957919034090909"
"2025-12-28","186","115773","200127","0.57849765398971653000"
"2025-12-29","143","95780","158496","0.60430547143145568342"
"2025-12-30","155","99559","165308","0.60226365330171558545"
"2025-12-31","184","115506","192195","0.60098337625848747366"
"2026-01-01","166","94636","165386","0.57221288379911237952"
"2026-01-02","171","104070","180385","0.57693267178534800565"
"2026-01-03","182","113476","194413","0.58368524738572009073"
"2026-01-04","186","109261","187966","0.58128065714012108573"
"2026-01-05","179","101921","173720","0.58669698365185355745"
"2026-01-06","176","110591","186946","0.59156654862901586554"
"2026-01-07","196","127252","215708","0.58992712370426687930"
"2026-01-08","159","97158","166838","0.58234934487347007277"
"2026-01-09","172","95691","167970","0.56969101625290230398"
"2026-01-10","156","99396","164353","0.60477143708967892281"
"2026-01-11","177","114139","194093","0.58806345411735611279"
"2026-01-12","171","107752","181689","0.59305736725943783058"
"2026-01-13","162","95822","165309","0.57965386034638162471"
"2026-01-14","166","107462","182309","0.58944978031803147404"
"2026-01-15","162","106894","176163","0.60679030216333736369"
"2026-01-16","157","93611","167878","0.55761326677706429669"
"2026-01-17","168","94852","156180","0.60732488154693302600"
"2026-01-18","171","106299","176806","0.60121828444736038370"
"2026-01-19","184","109728","190371","0.57639031154955324078"
"2026-01-20","174","103044","178195","0.57826538342826678639"
"2026-01-21","166","90727","157535","0.57591646300822039547"
"2026-01-22","167","100987","180052","0.56087685779663652723"
"2026-01-23","171","105384","181147","0.58175956543580627888"
"2026-01-24","156","95326","165556","0.57579308511923457924"
"2026-01-25","172","106680","181558","0.58758082816510426420"
"2026-01-26","174","109261","190447","0.57370817077717160155"
"2026-01-27","169","106321","183256","0.58017745667263281966"
"2026-01-28","176","110201","186110","0.59212831121379829133"
"2026-01-29","173","108613","183528","0.59180615491914040364"
"2026-01-30","171","111255","184193","0.60401318182558511996"
"2026-01-31","150","91175","152882","0.59637498201227090174"
"2026-02-01","160","99359","170174","0.58386710073219175667"
"2026-02-02","185","116574","197201","0.59114304694195262702"
"2026-02-03","176","102596","174943","0.58645387354738400508"
"2026-02-04","162","98139","171253","0.57306441347012899044"
"2026-02-05","163","101519","168989","0.60074324364307736006"
"2026-02-06","171","104288","171469","0.60820323207110323149"
"2026-02-07","179","123591","203576","0.60710005108657209101"
"2026-02-08","174","107172","185116","0.57894509388707621167"
"2026-02-09","164","85784","154054","0.55684370415568566866"
"2026-02-10","167","98403","171588","0.57348415973144975173"
"2026-02-11","168","106004","179181","0.59160290432579347141"
"2026-02-12","156","99773","168965","0.59049507294410084929"
"2026-02-13","184","106720","185824","0.57430687101773721371"
"2026-02-14","166","104864","176385","0.59451767440541996201"
"2026-02-15","175","111520","182753","0.61022254080644366987"
"2026-02-16","174","113210","191009","0.59269458507190760645"
"2026-02-17","169","107918","178209","0.60556986459718644962"
"2026-02-18","181","114281","192166","0.59469937449913095969"
"2026-02-19","213","134412","234979","0.57201707386617527524"
"2026-02-20","166","98716","172538","0.57214062989022708041"
"2026-02-21","158","92595","155115","0.59694420268832801470"
"2026-02-22","177","102783","173826","0.59129819474647060854"
"2026-02-23","157","97306","164468","0.59164092711044093684"
"2026-02-24","192","123450","212005","0.58229758732105374873"
"2026-02-25","180","110139","188641","0.58385504741811165123"
"2026-02-26","175","105416","178078","0.59196531856826783769"
"2026-02-27","175","110404","186564","0.59177547651208164490"
"2026-02-28","171","102347","172215","0.59429782539267775745"
"2026-03-01","189","116954","205831","0.56820401202928616195"
"2026-03-02","182","102199","172393","0.59282569477879032211"
"2026-03-03","151","99087","168644","0.58755129147790612177"
"2026-03-04","151","95336","157873","0.60387780051053695059"
"2026-03-05","202","119686","210793","0.56778925296380809609"
"2026-03-06","178","121434","203547","0.59658948547509911716"
"2026-03-07","174","109606","186628","0.58729665430696358531"
"2026-03-08","168","108065","178560","0.60520273297491039427"
"2026-03-09","190","113804","190260","0.59814990013665510354"
"2026-03-10","159","100528","176712","0.56888043822717189551"
"2026-03-11","171","106838","180974","0.59034999502690994286"
"2026-03-12","167","104119","176171","0.59101100635178321063"
"2026-03-13","163","98447","167482","0.58780645084247859471"
"2026-03-14","187","110610","188175","0.58780390593862096453"
"2026-03-15","185","109294","189455","0.57688633184661265208"
"2026-03-16","182","115506","198438","0.58207601366673721767"
"2026-03-17","170","106950","180313","0.59313527033547220666"
"2026-03-18","193","116357","198654","0.58572694232182588823"
"2026-03-19","182","112920","198035","0.57020223697831191456"
"2026-03-20","161","100187","171035","0.58576899465021779168"
"2026-03-21","160","95997","164454","0.58373162100040132803"
"2026-03-22","182","118631","194554","0.60975873022399950656"
"2026-03-23","156","92068","161138","0.57136119351115193188"
"2026-03-24","169","109411","183997","0.59463469513089887335"
"2026-03-25","173","101538","177796","0.57109271299691781592"
"2026-03-26","193","117902","196863","0.59890380620025093593"
"2026-03-27","185","111999","191440","0.58503447555369828667"
"2026-03-28","165","106772","181426","0.58851542777771653457"
"2026-03-29","181","110714","187021","0.59198699611273600291"
"2026-03-30","172","110226","186013","0.59257148693908490267"
"2026-03-31","166","94691","162080","0.58422384007897334650"
"2026-04-01","182","122402","206465","0.59284624512629259196"
"2026-04-02","176","105902","192046","0.55144080064151297085"
"2026-04-03","190","123176","207261","0.59430380052204708073"
"2026-04-04","161","93758","161711","0.57978739850721348579"
"2026-04-05","196","126162","206902","0.60976694280383949889"
"2026-04-06","163","95947","167522","0.57274268454292570528"
"2026-04-07","176","108953","182112","0.59827468810402389738"
"2026-04-08","176","104040","183193","0.56792563034613767993"
"2026-04-09","161","88385","160731","0.54989392214320821746"
"2026-04-10","166","112317","188733","0.59511055300344931729"
"2026-04-11","177","111871","190605","0.58692584139975341675"
"2026-04-12","187","117512","205265","0.57248922125057852045"
"2026-04-13","166","95306","164442","0.57957212877488719427"
"2026-04-14","168","96090","168589","0.56996601201739140751"
"2026-04-15","180","123648","208483","0.59308432821860775219"
"2026-04-16","165","95832","169054","0.56687212370011948845"
"2026-04-17","163","98465","169928","0.57945129701991431665"
"2026-04-18","191","115183","194462","0.59231623659121062213"
"2026-04-19","164","100282","168726","0.59434823323020755544"
"2026-04-20","173","105987","182705","0.58009906680167483101"
"2026-04-21","174","105770","179816","0.58821239489255683588"
"2026-04-22","178","115018","197759","0.58160690537472377995"
"2026-04-23","177","107022","184866","0.57891662068741683165"
"2026-04-24","177","110567","187966","0.58822872221571986423"
"2026-04-25","145","83988","147829","0.56814292188948041318"
"2026-04-26","223","146461","247491","0.59178313554836337483"
"2026-04-27","316","196256","326501","0.60108851121436075234"
"2026-04-28","289","168138","289323","0.58114287491834385790"
"2026-04-29","323","191018","331948","0.57544555171291889091"
"2026-04-30","299","187332","319101","0.58706177667885716435"
"2026-05-01","327","208288","349311","0.59628239591653283177"
"2026-05-02","307","193923","319819","0.60635234304403428189"
"2026-05-03","303","194666","329821","0.59021711776994187756"
"2026-05-04","298","186300","320311","0.58162223588949489715"
"2026-05-05","309","187374","318187","0.58888012395226706308"
"2026-05-06","302","185900","311182","0.59739959252141833397"
"2026-05-07","310","186106","316123","0.58871388668334793735"
"2026-05-08","321","204605","346601","0.59031855072547395997"
"2026-05-09","327","210582","361596","0.58236816778946669764"
"2026-05-10","338","213883","361251","0.59206202889403766356"
"2026-05-11","319","193441","334992","0.57744961073697282323"
"2026-05-12","307","189027","329127","0.57432845071963102389"
"2026-05-13","325","197648","343595","0.57523537886174129426"
"2026-05-14","306","186966","317416","0.58902512790785593669"
"2026-05-15","302","183227","311167","0.58883814800412640158"
"2026-05-16","310","193874","335246","0.57830369340722931817"
"2026-05-17","316","192266","319240","0.60226162135070793134"
"2026-05-18","312","195769","333775","0.58652984795146430979"
"2026-05-19","321","196641","329983","0.59591251670540603607"
"2026-05-20","311","196337","328432","0.59780106688751400594"
"2026-05-21","285","188090","322724","0.58281999479431340712"
"2026-05-22","287","175570","308665","0.56880436719420731213"
"2026-05-23","319","194842","337654","0.57704632552849958834"
"2026-05-24","331","206206","354021","0.58246827165620118581"
"2026-05-25","321","194609","329395","0.59080738930463425371"
"2026-05-26","309","178445","306273","0.58263379403342769359"
"2026-05-27","319","184235","319974","0.57578115721902404570"
"2026-05-28","306","195844","331809","0.59023112694351268350"
"2026-05-29","322","189826","337958","0.56168517981524331426"
"2026-05-30","314","199663","335783","0.59461914391139515699"
